,Product_1,Product_2,Product_3,Product_4,Product_5
10001012,6649989,11866615,6703629,6885293,6880747
10001324,44012580,10001353,10001351,10001334,10001326
10001326,44012580,10001353,10001351,10001334,10001324
10001334,10001377,10001326,10001357,10001324,10001355
10001351,10001357,10001324,10001326,10001355,10001353
10001353,44012841,10001357,10001373,10001355,10001351
10001355,10001353,10001351,10001377,10001334,10001357
10001357,10001351,10001353,10001377,10001334,10001355
10001369,44012841,55140203,44012580,10001377,10001373
10001373,55140203,10001353,44012841,10001377,10001369
10001377,10001334,10001355,10001357,10001373,10001369
10001382,48313222,10001386,10001388,16161475,10001384
10001384,48313222,10001386,10001388,16161475,10001382
10001386,16161475,10001382,10001384,48313222,10001388
10001388,16161475,10001382,10001384,48313222,10001386
10001479,25922110,4754815,2419567,10002068,21731970
10002068,4727019,61818978,2419567,21731970,10001479
10003165,23556592,23556604,32931450,17908150,16033028
10005392,12735027,588005,67257699,25892097,4070487
10006134,17618382,16533906,69149307,28364394,58039891
10020487,10334523,49863949,9996258,9992091,9982809
10021395,491431,491442,17620717,6711831,73666130
10062880,6880747,75696942,5801059,11866615,7855366
10086966,5403891,56714697,13670608,3428585,28754687
1010522,50560418,2080951,56046345,55515177,50560443
10108419,7325021,7362171,7327987,7252601,10126962
1011253,51571587,23476288,55469774,74141526,550442
10113725,16221071,52089160,311969,22153584,311940
1011522,10576733,4897521,643138,25770121,14785024
10126332,32924732,8066832,10593537,8290598,7496499
10126962,7325021,7327987,7362171,7252601,10108419
10138000,25731976,4707531,4727345,13406602,4738525
10140056,122012,359484,359484,11914559,359483
10143147,754249,15674038,20412302,455445,74559331
10194812,53128479,9353663,9862464,11626751,7239205
10194899,54406065,56046345,44065922,52711513,20557588
10206715,57742831,7230439,7932267,8406093,22561927
10214414,67864955,49993511,50883140,60744527,7749111
10282851,10386686,38762682,21310789,45168294,13367716
10307879,4210949,11199435,51029564,63226094,53562788
10334523,10020487,49863949,9996258,9982809,9992091
1036160,575388,3831591,26029837,74561265,14388647
10385313,67752435,11239836,24408779,42194494,42564424
10386686,13367716,10282851,45168294,72127109,44607240
10387236,7117761,44349631,764198,24727789,16208533
104180,41791430,379462,375565,359492,25487999
1044890,588800,11241055,16385902,3953455,4252075
10539907,447638,502118,4953341,4953367,4953369
10566733,45410530,3155853,557163,1406949,15668735
10576733,643138,70772235,14785024,73922514,25770121
1057882,48493605,227404,44231732,60030176,44232101
10579210,49498981,14790642,74247140,59168467,70772235
10581170,55469774,74623725,14681554,67069703,58251130
10585231,2067059,10732310,11633356,51352620,15129417
10590207,3953455,4252075,11241055,588800,25732951
1059170,3220163,74246209,255023,11477102,1324787
10593537,8290598,7496499,23107340,8066832,32924732
1059892,4028301,54017205,15682170,3220143,1060082
1060082,54017205,234886,15682170,3220143,1059892
10603363,15971921,21973916,16717623,6715805,56833406
10606661,21857291,52295579,7494785,75993812,26708402
10638568,52696541,52774785,1675793,1513667,4586897
10644571,43107185,7932267,21068237,7230439,8406093
10671551,25696258,25468367,17929212,1524461,1524463
10673415,6986847,11242886,12111114,359620,12736752
10678416,14374967,19992253,19920071,9797918,16626395
10680458,2775643,2775643,13302966,11834620,10680458
10683352,11372225,10683512,405288,405243,405252
10683512,405252,10683352,405288,540865,11372225
10690670,419024,53266115,418636,362872,584802
10690707,50360052,10719006,10719040,10716637,10716608
10696649,6841341,10732310,14449573,688845,689063
10696650,11239836,32850002,25487999,69459839,16257237
1069770,75978400,74850075,26166686,11199995,571874
10697849,416985,12108701,19606295,48509229,12274956
10697859,456503,12218724,456500,615977,615976
10703290,24989957,13918145,77718549,17884435,23515481
10706084,32200279,38323087,10706160,33164951,26315122
10706160,49728912,49729049,33164951,26315122,10706084
10708182,4432709,4442219,4441419,10709362,10709723
10708444,7092227,10735333,12236983,13583766,14071430
10709362,4432709,4442219,4441419,10708182,10709723
10716608,50360052,10719006,10719040,10690707,10716637
10716637,50360052,10719040,10719006,10690707,10716608
10719006,50360052,10690707,10716637,10716608,10719040
10719040,50570089,10690707,10716637,10716608,10719006
10723695,4953369,229779,447634,4953367,486760
10724668,32933095,32933095,11834620,10680458,10680458
10725778,35951327,19992253,16258285,32836957,8490373
10732310,2066599,10585231,21459682,6841341,14449573
10735333,12238762,7092227,13583766,14071430,12236983
10736184,54889013,11199435,17954263,44224953,4747467
1074044,24558526,15287960,6921787,187278,613193
10751487,55934345,7176411,9488961,19763307,5452277
10756629,10708182,10709723,4441419,1602285,478020
10762080,20425053,20583267,14104450,7635165,32809813
10766617,76265784,23285218,7357967,35527589,13861313
10769253,10777708,1907615,8141062,11194805,10769836
10769836,10777708,1907615,8141062,11194805,10769253
10771274,41098424,49884032,8112969,11664604,67345441
10777563,55469774,28733908,15388586,12411687,68823075
10777708,1610105,3209659,10785805,1609191,1907615
10784603,55469774,15388586,10777563,28733908,44247165
10785805,1609191,1610105,10777708,1907615,3209659
10791582,487511,56922762,487532,64354130,487524
10791780,10785805,1907615,1610105,1609191,10777708
10793468,72004658,1995735,8141868,56384890,25062191
